artist,title,lyric,album,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Stand Atlantic,Lavender Bones,sick of having empty habits leading to the selfish havoc im lonely in my own bones youre unweaving where you stand stitch me into all your plans just like a cherry stone    temporary fleeting thrills keep me bruised and make me ill my skin has lavender tones tell me im a loaded gun tie me up and come undone i can cover it up i can cover it up i can cover it up i can cover it   i know im out of my depth but i just float in it i try to do my best stop picking fights with it i wanna be upset youre not alright with it i can cover it up i can cover it try to speak my mind wish it was by design but i can only confess to having doubts with it dont wanna feel regret im not alright with it i can cover it up i can cover it i can cover it up i can cover it up   spending time with or without you cutting corners just to get you out of my goddamn mind keep your words up where theyre brewing i want something worth pursuing still letting you curl my spine    temporary fleeting thrills keep me bruised and make me ill my lonely lavender bones tell me how to hurt for fun tie me up and come undone i can cover it up i can cover it   i know im out of my depth but i just float in it i try to do my best stop picking fights with it i wanna be upset youre not alright with it i can cover it up i can cover it try to speak my mind wish it was by design but i can only confess to having doubts with it dont wanna feel regret im not alright with it i can cover it up i can cover it  what have i done chewing on my words nothings enough i rinse myself in the dirt sold all my time to a plastic ecstasy nothing's enough   i know im out of my depth but i just float in it i try to do my best stop picking fights with it i wanna be upset youre not alright with it i can cover it up i can cover it try to speak my mind wish it was by design but i can only confess to having doubts with it dont wanna feel regret im not alright with it i can cover it up i can cover it i can cover it up i can cover it   i can cover it up i can cover it up what have i done i can cover it up i can cover it nothing's enough i can cover it up i can cover it up,Skinny Dipping,11RX9JI2RFo70n5XH8U3Mk,0.55,0.936,8,-2.881,1,0.0774,0.000208,2.60E-06,0.302,0.761,158.02,204253,4
Stand Atlantic,Skinny Dipping,thought i could take this to my grave but instead i let it bury me yeah it was my mistake i needed honest conversation the kind i only make in my sleep fill my pocket mark with poison personality another stupid scar wont get me what i need   i know nothing about me i know nothing about me   its like skinny dipping in my jeans you get wet but you dont get clean quit pulling my ankles im already too deep its like skinny dipping in my jeans    im standing by myself next to everybody else what i make them buy they sell for free covering my tongue in poison similarity take my own advice and some responsibility   i know nothing about me i know nothing about me  its like skinny dipping in my jeans you get wet but you dont get clean quit pulling my ankles im already too deep its like skinny dipping in my jeans   a string of indecision the gift that just keeps giving just sick of swimming like im sinking slowly leaks in the stitches ive sewn but im letting nobody know just keep dragging my bones   its like skinny dipping in my jeans you get wet but you dont get clean its like skinny dipping in my jeans you get wet but you dont get clean quit pulling my ankles im already too deep its like skinny dipping in my jeans  its like skinny dipping in my jeans you get wet but you dont get clean quit pulling my ankles im already too deep its like skinny dipping in my jeans,Skinny Dipping,2x9JuIk4q6pG3FqnBHfTUz,0.678,0.762,1,-2.893,1,0.0404,0.0022,0,0.0879,0.593,104.012,169613,4
Stand Atlantic,Coffee At Midnight,i dont wanna say goodbye can we just say goodnight tell me how to change your mind over coffee at midnight    sink into my trust again keep me uncomposed teach me how to love again thinking of yourself cause patience is poison just watching you come and go i guess theres no use in hanging around   words youre spitting out something i can live without at least you can be happy now   i dont wanna say goodbye can we just say goodnight tell me how to change your mind over coffee at midnight if youre gonna say goodbye would it be alright if only i could change your mind over coffee at midnight   if you feel that lonely now tell me that you dont i didnt put my feet to concrete just for you to call me home not sorry if you miss me now its not my fault that we hit the ground if youre no damn good for my mental health theres no use in hanging around   words youre spitting out something i can live without at least you can be happy now   i dont wanna say goodbye can we just say goodnight tell me how to change your mind over coffee at midnight if youre gonna say goodbye would it be alright if only i could change your mind over coffee at midnight    so ill keep pretending like everythings fine like were saying goodnight and not our goodbyes now its too late too late i dont wanna walk away but im not just gonna sit and wait  i dont wanna say goodbye can we just say goodnight tell me how to change your mind over coffee at midnight i dont wanna say goodbye can we just say goodnight tell me how to change your mind over coffee at midnight if youre gonna say goodbye would it be alright if only i could change your mind over coffee at midnight if only i could change your mind over coffee at midnight,Coffee at Midnight,0O5WAeW9fQb0E1sKUi5QZt,0.393,0.953,6,-3.492,1,0.169,0.000136,0,0.861,0.634,176.938,224867,4
Stand Atlantic,Lost My Cool,wait for me you said waiting was all i did i went away wishing i'd stayed you used the time to trade my name    naked as i could be you made the most of what i threw flexin' the truth more than i knew i turn myself to someone new   i'm not a saint i became everything i hate i still paint you red just to forget your name and piece myself together with a stale glue found out you're full of shit why don't you swallow it    caught up in the very best of you tunnel vision and a point to prove persistent for an oh so daisy blue with nothing but a selfish point of view  so take your crooked friends wipe off your silent grin 'cause when you held my hand should've dug my nails in tell me how the absence only made you sore your words are full of shit i'll make you swallow it  not a saint i became everything i hate i still paint you red just to forget your name and piece myself together with a stale glue found out you're full of shit why don't you swallow it   wait for me you said waiting was all i did i went away wishing i'd stayed you used the time to trade my name   not a saint i became everything i hate i still paint you red just to forget your name and piece myself together with a stale glue found out you're full of shit why don't you swallow it why don't you swallow it,Skinny Dipping,2Slr3YbWwRB4cHJtEK0INO,0.471,0.849,6,-3.618,1,0.0299,0.00308,9.26E-06,0.0723,0.628,120.592,205213,4
Stand Atlantic,Jurassic Park,dancing with ghosts in your garden dancing with ghosts in your gar    wiped out on the kitchen floor comets killing dinosaurs heavy sunken eyes seen it all you're not fucking wise anymore head fueling your army south candy in your cotton mouth feeling compromised seen it all don't wanna see you hide anymore   been here before dancing with ghosts in your garden lost dinosaur dancing with ghosts   we're dressing skeletons oh like a funeral home wrapped in your basement below dancing with ghosts in your garden and i'll never know who you do it for lost dinosaur dancing with ghosts in your garden   vomiting apologies not serving them honestly break your fingertips starting wars you couldn't get a grip you die a little more   been here before dancing with ghosts in your garden lost dinosaur   we're dressing skeletons oh like a funeral home wrapped in your basement below dancing with ghosts in your garden and i'll never know who you do it for lost dinosaur dancing with ghosts in your garden dancing with ghosts in your garden   whoaohohoh   we're dressing skeletons oh like a funeral home wrapped in your basement below dancing with ghosts in your garden and i'll never know who you do it for lost dinosaur dancing with ghosts in your garden,Pink Elephant,34gFMDaZ1N41KjcUspPUtj,0.545,0.949,10,-3.601,1,0.0558,0.0016,0,0.124,0.581,97.047,146437,4
Stand Atlantic,Toothpick,i wish our skin would meet a sting i wish would bleed like toothpicks sliding under fingernails don't you need a breath of air 'cause you're biting at my head like starving great whites feeding in the deep end and i wish i was just as strong as i make myself out to be   i'm twisting my words to appear like this doesn't burn im staring at the sun papercuts are in my eyes shrinking our worth mixing fiction with crime like a substance i'm addicted to diving into the salt tides    i took you like a thief a pinch that doesn't leave it's like ice cubes grinding at your front teeth and i miss you while you talk it's a comforting sense of shock feels like silver caught inside a toaster and i wish i was just as strong as i make myself out to be  i'm twisting my words to appear like this doesn't burn im staring at the sun papercuts are in my eyes papercuts are in my eyes shrinking our worth mixing fiction with crime like a substance i'm addicted to diving into the salt tides diving into the salt tides   a fever that i'll never break 'cause i keep pushing pills away just to see my body shake expensive red wine i hate the taste and how the slightest spill will stain i drink with you anyway 'cause i know that i'm not as strong as i make myself out to be   i'm twisting my words to appear like this doesn't burn im staring at the sun papercuts are in my eyes papercuts are in my eyes shrinking our worth mixing fiction with crime like a substance i'm addicted to diving into the salt tides diving into the salt tides i'm twisting my words to appear like this doesn't burn im staring at the sun papercuts are in my eyes papercuts are in my eyes shrinking our worth mixing fiction with crime like a substance crime like a substance i'm addicted to diving into the salt tides diving into the salt tides   i wish i was just as strong as i make myself out to be,Skinny Dipping,6mJcgp0qBS1sGqgYsOIpvr,0.434,0.396,0,-8.262,1,0.0273,0.541,0,0.26,0.426,79.763,215187,4
Stand Atlantic,Hate Me (Sometimes),spaghetti    oh where did i go wrong limbs in a noose thought i'd be better but written off to tell you the truth dead in the water carry me home get off on whiplash i'm losing myself red and i'm blue i set fires so deliberately 'til i taste the smoke on every part of me my hands are promised to my dirty jeans but i would sell myself to almost anything   i don't need your help you should probably save yourself there's blood on my hands you should probably save yourself   i think i like the way you hate me sometimes hate me sometimes take it back you come and go just like the bones i'm breaking bones i'm breaking take it back i think i like the way you hate me sometimes ohoh    give me a moment and cut me loose buried in my bed 'cause all of this is dim until i set fires so deliberately 'til i taste the smoke on every part of me and i can't swallow what you throw at me though i don't need your help you should probably save yourself  i think i like the way you hate me sometimes hate me sometimes take it back you come and go just like the bones i'm breaking bones i'm breaking take it back i don't need your help you should probably save yourself 'cause there's blood on my hands it's hanging over my head take it back take it back take it back take it back   i think we're shaking the room there's nothing left to hold onto take it back take it back maybe we're stuck in the dark it doesn't matter i'm seethrough take it back take it back   i think i like the way you hate me sometimes hate me sometimes take it back you come and go just like the bones i'm breaking bones i'm breaking take it back i don't need your help you should probably save yourself 'cause there's blood on my hands it's hanging over my head   i think i love the way you hate me sometimes hate me sometimes don't take it back you come and go just like the bones i'm breaking bones i'm breaking can't take it back i don't need your help you should probably save yourself i don't need your help you should probably save yourself,Pink Elephant,69Y6dB1U7AZ0FfDdzol6ir,0.573,0.878,6,-3.497,1,0.0571,0.00171,0,0.0686,0.534,131.915,233454,4
Stand Atlantic,Sidewinder,im a wave in the ocean youre a tree in the orchard so im out like im under stuck deep in your soil  from my chest to my head to the breath on your neck silhouettes and regrets now replace you instead   spit me out spit me out   and do you feel empty cause your whispers consume me they grow deeper they shake me and they linger im a renegade and a sinner youre a blue bird in the winter disguising the way you hide like a sidewinder    you lack in conviction so suffer in silence with selfmedication and its sour elation ive been muting the colours on my skin ive been matching the distance that you bring i fall asleep to the pressure that i cant make this better cause you wont let me further in   spit me out spit me out   and do you feel empty cause your whispers consume me they grow deeper they shake me and they linger im a renegade and a sinner youre a blue bird in the winter disguising the way you hide like a sidewinder   you couldve used some respect instead you played with my head and now ill never let you go im on the side of the fence you dont call home sidewinder wake me in the dead of night so you can take me to the place you hide  and do you feel empty cause your whispers consume me they grow deeper they shake me and they linger im a renegade and a sinner youre a blue bird in the winter disguising the way you hide like a sidewinder,Sidewinder,7JrrzKeww3NKUH48l6ODeC,0.496,0.802,8,-4.492,1,0.0628,0.00229,0,0.243,0.695,159.994,162307,4
Stand Atlantic,Chemicals,the chemicals swirl inside of my head i never lost sight of what i wanted i just had a change of plan i hope you understand put yourself inside of my shoes and fit the piece im forced to mould to itd be such a waste so fuck your empty space   so tell me im wrong am i pressing on your thoughts again im already gone so dont get used to me saying im sorry cause im too busy feeling alright i dont owe you anything   why do you separate my skin im in amongst the doubt but at least i can say i gave my everything if you wont even hear me out then dont ask why dont waste my time    tug on everything that i have discomposure is my best friend just when im wrapped so safe it forces things to change ill take pleasure over pressure thicker skin in dirty weather go and pick apart the things we do but itll never mend your broken bad mood  so tell me im wrong am i pressing on your thoughts again im already gone so dont get used to me saying im sorry cause im too busy feeling alright i dont owe you anything   why do you separate my skin im in amongst the doubt but at least i can say i gave my everything if you wont even hear me out then dont ask why dont waste my time   the chemicals swirl inside my head through static nerves that dont connect if this grey matter is all we get ill do everything that i can to make sure chemicals will react and help myself to stay intact if this grey matter is all we get then i dont wanna waste it on your shallow breath   separate my skin im in amongst the doubt but at least i can say i gave my everything if you wont even hear me out then dont ask why  separate my skin im in amongst the doubt but at least i can say i gave my everything but you never hear me out so dont ask why so dont ask why,Sidewinder,3ogwpTieSD9LL8xpzwLfUd,0.327,0.891,9,-3.801,1,0.0873,0.00165,0,0.352,0.403,99.999,208395,4
Stand Atlantic,Shh!,shh    i keep forgetting where i wanna go and no i don't i never feel at home yeah yeah feed in my throat like a leech i guess i'll keepkeep fleeing to my knees and you're the only one who ignites me easy yeah yeah feed in my throat like a leech   and just maybe my weak fingertips are better off burning s we're better off burning s   you better think with your mouth before you shout 'til you bleed yeah yeah feed in my throat like a leech watch what you're telling yourself what do you shout in your sleep yeah yeah feed in my throat like a leech feed in my throat like shh    i'm laying with the demons that i hate like a little lab rat just crawling in a cage yeah yeah feed in my throat like a leech spinning out of your focus i'm delirious waiting to be new again  maybe my weak fingertips are better off burning s we're better off burning s   you better think with your mouth before you shout 'til you bleed yeah yeah feed in my throat like a leech watch what you're telling yourself what do you shout in your sleep yeah yeah feed in my throat like a leech feed in my throat like you better think with your mouth before you shout 'til you bleed yeah yeah feed in my throat like a leech watch what you're telling yourself what do you shout in your sleep yeah yeah feed in my throat like a leech feed in my throat like shh,Pink Elephant,410Kdc2Io4pknK9gBRCe4z,0.526,0.929,5,-3.967,1,0.0472,0.000122,0,0.471,0.489,97.52,158825,4
Stand Atlantic,Drink To Drown,started again before we even saw the end no fair washing me out cellophane cover my skin to what you need to what you need   so pick your poison i'm indifferent now do you still want me around around    what i would give not to be a concrete cloud i'll deal with it just to savour it   i'll pick my poison i'm indifferent and i drink to drown i drink to drown and i should know better but i don't so i drink to drown i drink to drown  cut me too deep so uneasy fragments of me that i don't need drop your colors from the ceiling if you love me saturate me if you love me saturate me   i'll pick my poison i'm indifferent and i drink to drown i drink to drown and i should know better but i don't so i drink to drown i drink to drown  i'll pick my poison cut me too deep i'm indifferent so uneasy and i drink to drown fragments of me i drink to drown that i don't need and i should know better drop your colors but i don't so from the ceiling i drink to drown if you love me i drink to drown saturate me saturate me  and i'll pick my poison i'm indifferent now,Pink Elephant,4oCGjSBibZ4vQDzxcvupBH,0.282,0.386,3,-7.631,1,0.0307,0.45,0,0.0988,0.171,78.084,196307,4
Stand Atlantic,Blurry,like a botched lobotomy losing little parts of me because you're a fever and i keep losing limbs you're out of reach   and it's just so unappealing when you're clinging to the ceiling just to dance around your feelings oh well oh well   sever up my body sew it up to stop me 'cause i need surgery to keep me blurry so you like to hurt me could you cut me dirty 'cause i need surgery to keep me blurry    electroshock therapy zombieversion tryna feed you're my melancholy medicine love me 'cause i'm lonely please  and it's just so unappealing when you're clinging to the ceiling just to dance around your feelings oh well oh well   sever up my body sew it up to stop me 'cause i need surgery to keep me blurry so you like to hurt me could you cut me dirty 'cause i need surgery to keep me blurry   clutching weapons while we're sleeping got me bleeding like i mean it it's just enough to keep me blurry   sever up my body sew it up to stop me 'cause i need surgery to keep me blurry so you like to hurt me could you cut me dirty 'cause i need surgery to keep me blurry 'cause i need surgery to keep me blurry 'cause i need surgery to keep me blurry,Pink Elephant,7AzBhL7tthrqK2vykVyZyW,0.649,0.825,5,-3.766,0,0.0658,0.00425,0,0.155,0.517,100.02,167230,4
Stand Atlantic,Wavelength,i know i've always said i'm not a saint so i'm gonna push you to the floor you keep selfishly just digging 'til my nervous system is sore    yeah chewing on peppermint gum won't hide your broken teeth black tongue sweeping ugly statements i'm just killing all my feelings i'm done   i'm tripping on your wavelength better than a way out of this wanna slip under your radar unscarred to see you reap what you have sown tripping on your i'm tripping on your i'm tripping on your    got a little sense of vertigo spinning seeing monochrome i'm i'm tripping on your bored of falling short for you surrounding me just like a bad view  i'm tripping on your wavelength better than a way out of this wanna slip under your radar unscarred to see you reap what you have sown tripping on your   i'm tripping on your wavelength i'm i'm tripping on your i'm i'm tripping i'm i'm tripping on your i've always said i'm not a saint so i'm gonna push you to the floor floor floor floor   i'm tripping on your wavelength better than a way out of this wanna slip under your radar unscarred to see you reap what you have sown i'm tripping on your wavelength better than a way out of this wanna slip under your radar unscarred to see you reap what you have sown tripping on your  on your wavelength on your wavelength tripping on your wavelength i'm tripping on your,Pink Elephant,1K4y1Lp0uajn7IwBPQfFGb,0.569,0.924,3,-4.44,0,0.0784,0.0053,1.52E-06,0.222,0.45,112.052,178152,4
Stand Atlantic,Eviligo,should we call it eviligo i'm fingerprinting on your skin tone gotta keep you like a big toe oh no oh no and i'm breathing on your window kinda watch you when you don't know i don't wanna make it weird though oh no oh no   petalpicking showers oh no oh no what a pretty little mess we'd make   i can sting like eviligo what's your blood type by the kilo what i'd do to keep you don't wanna know i can sting like eviligo    you're up and down like a yoyo is that the way you wanna walk home i think you find me kinda weird though oh no oh no  petalpicking showers now i'm kicking flowers what a pretty little mess we make   i can sting like eviligo what's your blood type by the kilo what i'd do to cheat you don't wanna know i can sting like eviligo   you saw me watch you sleep from your window now i'm just a creep you don't wanna know oh shit   i can sting like eviligo what's your blood type by the kilo what i'd do to cheat you don't wanna know i can sting like eviligo   eviligo eviligo what i'd do to cheat you don't wanna know i can sting like eviligo eviligo eviligo,Pink Elephant,7ESMjF00Wl6ylq5luFHJGv,0.582,0.78,0,-3.756,1,0.0271,0.000164,0,0.0881,0.415,100.007,186819,4
